name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-16909,NO,993.7,534.3,459.3,0.859,-0.2,1.7e-01,1.0e+00,0.8592,791,560,537,506,448,511,419
GENE-13944,NO,790,364.7,425.3,1.166,0.2,1.7e-01,1.0e+00,0.8592,791,399,362,333,413,400,463
GENE-10497,NO,68.3,29.7,38.7,1.301,0.4,1.7e-01,1.0e+00,0.8592,792,21,33,35,42,39,35
GENE-15271,NO,146,80.3,65.7,0.818,-0.3,1.7e-01,1.0e+00,0.8592,793,88,86,67,66,58,73
GENE-1499,NO,85.3,37.7,47.7,1.265,0.3,1.7e-01,1.0e+00,0.8592,794,48,34,31,50,45,48
GENE-1820,NO,1760.7,1032.7,728,0.705,-0.5,1.7e-01,1.0e+00,0.8592,795,586,1140,1372,558,805,821
GENE-15526,NO,184,83.7,100.3,1.202,0.3,1.7e-01,1.0e+00,0.8637,800,84,73,94,104,108,89
GENE-7097,NO,445.3,248.7,196.7,0.792,-0.3,1.7e-01,1.0e+00,0.8637,801,181,277,288,169,201,220
GENE-10898,NO,148.7,61.3,87.3,1.426,0.5,1.7e-01,1.0e+00,0.8637,802,43,61,80,91,115,56
GENE-5889,NO,54,9.7,44.3,4.536,2.2,1.7e-01,1.0e+00,0.8641,803,0,2,27,113,15,5
GENE-5779,NO,28.3,16.3,12,0.736,-0.4,1.7e-01,1.0e+00,0.8641,804,14,19,16,10,16,10
GENE-19668,NO,485.7,216.7,269,1.24,0.3,1.7e-01,1.0e+00,0.8641,804,184,240,226,324,211,272
GENE-7363,NO,44.3,26.7,17.7,0.663,-0.6,1.7e-01,1.0e+00,0.8641,805,31,23,26,13,29,11
GENE-8134,NO,37.7,21.7,16,0.74,-0.4,1.7e-01,1.0e+00,0.8641,806,29,18,18,15,19,14
GENE-10024,NO,371.3,204.3,167,0.817,-0.3,1.7e-01,1.0e+00,0.8641,807,231,220,162,146,185,170
GENE-12506,NO,133.7,75.3,58.3,0.774,-0.4,1.7e-01,1.0e+00,0.8641,808,57,92,77,54,71,50
GENE-7048,NO,160.7,33.7,127,3.773,1.9,1.7e-01,1.0e+00,0.8641,809,49,52,0,257,14,110
GENE-8779,NO,515.3,281.3,234,0.832,-0.3,1.7e-01,1.0e+00,0.8641,810,320,277,247,207,273,222
GENE-18085,NO,112,49.7,62.3,1.254,0.3,1.7e-01,1.0e+00,0.8641,810,55,41,53,50,69,68
GENE-4315,NO,5063.7,2921.3,2142.3,0.733,-0.4,1.7e-01,1.0e+00,0.8641,811,2883,3002,2879,2295,1236,2896
GENE-7274,NO,4691.3,2558.7,2132.7,0.834,-0.3,1.7e-01,1.0e+00,0.8641,812,3066,2456,2154,1933,2132,2333
GENE-14342,NO,2126,1167,959,0.822,-0.3,1.7e-01,1.0e+00,0.8641,813,1283,1137,1081,1183,903,791
GENE-11945,NO,2970,1606,1364,0.849,-0.2,1.7e-01,1.0e+00,0.8641,814,1630,1548,1640,1235,1239,1618
GENE-14834,NO,23.7,10,13.7,1.362,0.4,1.7e-01,1.0e+00,0.8641,815,7,13,10,13,14,14
GENE-3036,NO,42.7,24.7,18,0.73,-0.5,1.7e-01,1.0e+00,0.8641,816,21,20,33,14,22,18
GENE-4578,NO,260.3,117.3,143,1.219,0.3,1.7e-01,1.0e+00,0.8641,817,105,117,130,149,115,165
GENE-15601,NO,172.7,108.7,64,0.591,-0.8,1.7e-01,1.0e+00,0.8641,817,65,82,179,103,39,50
GENE-16534,NO,51,29.3,21.7,0.739,-0.4,1.7e-01,1.0e+00,0.8641,818,31,20,37,18,25,22
GENE-3584,NO,129,70.7,58.3,0.825,-0.3,1.7e-01,1.0e+00,0.8641,819,62,66,84,57,59,59
GENE-1877,NO,42.3,15,27.3,1.815,0.9,1.7e-01,1.0e+00,0.8641,820,19,16,10,8,40,34
GENE-3480,NO,768.7,346.7,422,1.217,0.3,1.7e-01,1.0e+00,0.8641,821,403,297,340,404,364,498
GENE-4257,NO,821.3,444,377.3,0.85,-0.2,1.7e-01,1.0e+00,0.8641,822,408,456,468,349,436,347
GENE-10014,YES,114,68,46,0.678,-0.6,1.7e-01,1.0e+00,0.8641,823,88,47,69,69,30,39
GENE-15810,NO,38.3,22.3,16,0.718,-0.5,1.7e-01,1.0e+00,0.8641,823,28,16,23,12,21,15
GENE-12766,NO,23,9.7,13.3,1.375,0.5,1.7e-01,1.0e+00,0.8641,824,12,9,8,12,11,17
GENE-10993,NO,327,182.7,144.3,0.79,-0.3,1.7e-01,1.0e+00,0.8644,825,221,148,179,113,172,148
GENE-9764,NO,535.7,290,245.7,0.847,-0.2,1.7e-01,1.0e+00,0.8661,828,256,293,321,275,240,222
GENE-3262,NO,4578.7,2489.7,2089,0.839,-0.3,1.7e-01,1.0e+00,0.8661,829,2404,2892,2173,2396,1923,1948
GENE-3571,NO,1970.3,896.7,1073.7,1.198,0.3,1.7e-01,1.0e+00,0.8704,834,875,1040,775,1038,954,1229
GENE-10755,NO,376,174,202,1.163,0.2,1.7e-01,1.0e+00,0.8708,835,157,185,180,218,194,194
GENE-11111,NO,138,32.3,105.7,3.257,1.7,1.8e-01,1.0e+00,0.8708,836,8,3,86,124,167,26
GENE-359,NO,50,16,34,2.112,1.1,1.8e-01,1.0e+00,0.8708,837,14,24,10,10,71,21
GENE-11646,NO,155.3,87,68.3,0.786,-0.3,1.8e-01,1.0e+00,0.8708,838,113,75,73,77,70,58
GENE-8465,NO,563.3,254,309.3,1.218,0.3,1.8e-01,1.0e+00,0.8708,839,286,195,281,337,303,288
GENE-2578,NO,177.7,78.7,99,1.261,0.3,1.8e-01,1.0e+00,0.8715,840,69,68,99,106,110,81
GENE-3883,NO,98.3,54.7,43.7,0.799,-0.3,1.8e-01,1.0e+00,0.8715,841,47,51,66,40,40,51
GENE-2310,NO,140.3,81,59.3,0.733,-0.4,1.8e-01,1.0e+00,0.8715,842,90,94,59,82,52,44
GENE-16937,NO,737.3,399.3,338,0.846,-0.2,1.8e-01,1.0e+00,0.8715,843,436,361,401,389,326,299
GENE-11343,NO,4933,2679.7,2253.3,0.841,-0.3,1.8e-01,1.0e+00,0.8715,844,2755,2978,2306,1901,2455,2404
GENE-10218,NO,121.7,70.7,51,0.722,-0.5,1.8e-01,1.0e+00,0.8715,844,50,62,100,44,44,65
GENE-18279,NO,3734.7,1735.7,1999,1.152,0.2,1.8e-01,1.0e+00,0.8715,845,1733,1612,1862,1802,2105,2090
GENE-3001,NO,4838.3,2584.7,2253.7,0.872,-0.2,1.8e-01,1.0e+00,0.8715,846,2762,2332,2660,2363,2121,2277
GENE-2193,NO,790.7,325.3,465.3,1.43,0.5,1.8e-01,1.0e+00,0.8715,847,209,471,296,317,521,558
GENE-6801,NO,31.3,13,18.3,1.405,0.5,1.8e-01,1.0e+00,0.8722,849,10,14,15,19,24,12
GENE-9994,NO,787.7,430.3,357.3,0.831,-0.3,1.8e-01,1.0e+00,0.8726,850,517,384,390,406,343,323
GENE-2068,NO,30,12,18,1.495,0.6,1.8e-01,1.0e+00,0.8726,851,18,10,8,12,20,22
GENE-16060,YES,1540.7,869,671.7,0.773,-0.4,1.8e-01,1.0e+00,0.8726,852,598,887,1122,718,730,567
GENE-6404,NO,40,23.3,16.7,0.715,-0.5,1.8e-01,1.0e+00,0.8726,853,19,18,33,13,20,17
GENE-9576,NO,51.3,23,28.3,1.23,0.3,1.8e-01,1.0e+00,0.874,855,25,20,24,26,29,30
GENE-10696,NO,64.7,35.3,29.3,0.831,-0.3,1.8e-01,1.0e+00,0.874,856,35,38,33,31,29,28
GENE-6774,NO,2080.7,792,1288.7,1.627,0.7,1.8e-01,1.0e+00,0.874,857,987,468,921,1941,1354,571
GENE-5670,NO,407.7,180,227.7,1.268,0.3,1.8e-01,1.0e+00,0.8742,858,177,177,186,254,274,155
GENE-3859,NO,480.3,223.7,256.7,1.148,0.2,1.8e-01,1.0e+00,0.8758,860,237,224,210,254,245,271
GENE-11797,NO,34.7,14.7,20,1.36,0.4,1.8e-01,1.0e+00,0.8767,862,15,18,11,16,26,18
GENE-18133,YES,39,16.7,22.3,1.337,0.4,1.8e-01,1.0e+00,0.8767,863,18,11,21,21,22,24
GENE-11734,NO,166,94,72,0.766,-0.4,1.8e-01,1.0e+00,0.8767,864,118,64,100,75,81,60
GENE-12457,NO,56,24,32,1.332,0.4,1.8e-01,1.0e+00,0.8767,864,21,31,20,34,24,38
GENE-18314,NO,1072,589,483,0.82,-0.3,1.8e-01,1.0e+00,0.8767,865,659,575,533,380,491,578
GENE-2500,NO,61.3,24,37.3,1.551,0.6,1.8e-01,1.0e+00,0.8767,866,32,21,19,26,62,24
GENE-9918,NO,94,41,53,1.292,0.4,1.8e-01,1.0e+00,0.8767,867,49,34,40,65,40,54
GENE-2494,NO,357,166,191,1.153,0.2,1.8e-01,1.0e+00,0.8767,868,179,162,157,191,202,180
GENE-19760,NO,3406.7,1849,1557.7,0.843,-0.2,1.8e-01,1.0e+00,0.8767,869,1959,1859,1729,1285,1548,1840
GENE-18063,NO,184.3,81,103.3,1.279,0.4,1.8e-01,1.0e+00,0.8767,870,85,85,73,136,99,75
GENE-3402,NO,185.7,85.7,100,1.171,0.2,1.8e-01,1.0e+00,0.8767,871,82,94,81,93,106,101
GENE-15166,NO,97.3,56.7,40.7,0.719,-0.5,1.8e-01,1.0e+00,0.8771,872,42,64,64,53,25,44
GENE-13501,NO,184.3,77.7,106.7,1.373,0.5,1.8e-01,1.0e+00,0.8771,873,70,55,108,131,78,111
GENE-15081,NO,43035.7,18620.7,24415,1.311,0.4,1.8e-01,1.0e+00,0.8775,874,17804,25785,12273,24397,26786,22062
GENE-1366,YES,95,37,58,1.568,0.6,1.8e-01,1.0e+00,0.8811,878,39,55,17,63,38,73
GENE-7843,NO,273,147,126,0.861,-0.2,1.8e-01,1.0e+00,0.8811,879,149,140,152,114,139,125
GENE-10952,NO,111.3,62.7,48.7,0.777,-0.4,1.8e-01,1.0e+00,0.8811,880,83,58,47,47,45,54
GENE-16779,NO,27,17.3,9.7,0.561,-0.8,1.9e-01,1.0e+00,0.8817,882,20,14,18,16,2,11
GENE-15865,NO,314.3,194,120.3,0.62,-0.7,1.9e-01,1.0e+00,0.8817,883,138,324,120,119,70,172
GENE-289,NO,141.7,87.7,54,0.616,-0.7,1.9e-01,1.0e+00,0.8817,884,117,53,93,53,85,24
GENE-16198,NO,2946.7,1061.3,1885.3,1.776,0.8,1.9e-01,1.0e+00,0.8817,884,2027,394,763,1409,2437,1810
GENE-15317,NO,284.3,86.7,197.7,2.28,1.2,1.9e-01,1.0e+00,0.8817,885,127,120,13,359,94,140
GENE-13060,NO,41.7,23.7,18,0.762,-0.4,1.9e-01,1.0e+00,0.8817,886,21,24,26,15,15,24
GENE-19769,NO,459,156,303,1.945,1,1.9e-01,1.0e+00,0.8817,887,118,148,202,389,460,60
GENE-5941,NO,247.7,106,141.7,1.337,0.4,1.9e-01,1.0e+00,0.8817,888,86,121,111,142,191,92
GENE-3972,NO,135.7,80.7,55,0.682,-0.6,1.9e-01,1.0e+00,0.8817,889,41,102,99,46,48,71
GENE-11993,NO,57,25.3,31.7,1.249,0.3,1.9e-01,1.0e+00,0.8817,890,27,29,20,30,35,30
GENE-7597,NO,2823,1299,1524,1.173,0.2,1.9e-01,1.0e+00,0.8817,891,1368,1125,1404,1716,1362,1494
GENE-6996,NO,397.3,215.3,182,0.846,-0.2,1.9e-01,1.0e+00,0.8817,891,179,232,235,190,167,189
GENE-6155,NO,23.7,9,14.7,1.622,0.7,1.9e-01,1.0e+00,0.8817,892,14,8,5,22,9,13
GENE-19494,NO,145.3,64.7,80.7,1.248,0.3,1.9e-01,1.0e+00,0.8817,893,62,69,63,93,59,90
GENE-13073,NO,8029,3683,4346,1.18,0.2,1.9e-01,1.0e+00,0.8817,894,3581,3579,3889,4474,3521,5043
GENE-7082,NO,35.3,20,15.3,0.768,-0.4,1.9e-01,1.0e+00,0.8817,895,21,19,20,12,14,20
GENE-15121,NO,1378,797.3,580.7,0.729,-0.5,1.9e-01,1.0e+00,0.8817,896,744,1150,498,479,687,576
GENE-3225,NO,2289.3,1061.3,1228,1.157,0.2,1.9e-01,1.0e+00,0.8817,897,1172,981,1031,1125,1355,1204
GENE-11937,NO,1094.7,503.3,591.3,1.175,0.2,1.9e-01,1.0e+00,0.8817,898,500,570,440,582,536,656
GENE-303,NO,49,30.3,18.7,0.616,-0.7,1.9e-01,1.0e+00,0.8817,898,19,26,46,12,31,13
GENE-8859,NO,1107,597.3,509.7,0.853,-0.2,1.9e-01,1.0e+00,0.8817,899,664,523,605,567,499,463
GENE-6860,NO,98,43,55,1.278,0.4,1.9e-01,1.0e+00,0.8817,900,40,50,39,67,58,40
GENE-17237,NO,115.3,50,65.3,1.305,0.4,1.9e-01,1.0e+00,0.8817,901,38,58,54,81,67,48
GENE-11726,NO,308,165,143,0.868,-0.2,1.9e-01,1.0e+00,0.8817,902,154,171,170,154,135,140
GENE-17478,NO,8701,4659,4042,0.868,-0.2,1.9e-01,1.0e+00,0.8817,903,4763,4707,4507,4652,3872,3602
GENE-321,NO,329.3,148,181.3,1.225,0.3,1.9e-01,1.0e+00,0.8817,904,132,188,124,188,194,162
GENE-19665,NO,291,168,123,0.732,-0.4,1.9e-01,1.0e+00,0.8817,905,177,190,137,70,147,152
GENE-11996,NO,5960,3206.3,2753.7,0.859,-0.2,1.9e-01,1.0e+00,0.8817,906,3488,3136,2995,2389,2726,3146
GENE-17758,NO,623.3,344.3,279,0.811,-0.3,1.9e-01,1.0e+00,0.8817,906,340,429,264,250,276,311
GENE-5597,NO,107.7,61.7,46,0.746,-0.4,1.9e-01,1.0e+00,0.8817,907,67,62,56,65,43,30
GENE-7554,NO,47.7,20,27.7,1.382,0.5,1.9e-01,1.0e+00,0.8817,908,22,25,13,25,22,36
GENE-12994,NO,175,41.3,133.7,3.227,1.7,1.9e-01,1.0e+00,0.8817,909,1,116,7,89,143,169
GENE-12379,NO,63.3,27.7,35.7,1.287,0.4,1.9e-01,1.0e+00,0.8817,910,31,20,32,33,42,32
GENE-14261,NO,1443,659.7,783.3,1.188,0.2,1.9e-01,1.0e+00,0.8817,911,596,668,715,913,650,787
GENE-8510,NO,1465.7,1379,86.7,0.063,-4,1.9e-01,1.0e+00,0.8817,912,4110,27,0,0,260,0
GENE-9549,NO,478,255.7,222.3,0.87,-0.2,1.9e-01,1.0e+00,0.8817,913,279,245,243,209,239,219
GENE-13235,NO,24.3,14.7,9.7,0.662,-0.6,1.9e-01,1.0e+00,0.8817,913,19,7,18,11,8,10
GENE-16695,NO,230,94,136,1.449,0.5,1.9e-01,1.0e+00,0.8817,914,135,88,59,149,174,85
GENE-6664,NO,36.7,21,15.7,0.748,-0.4,1.9e-01,1.0e+00,0.8817,915,27,22,14,15,15,17
GENE-12373,NO,1717,791.3,925.7,1.17,0.2,1.9e-01,1.0e+00,0.8817,916,839,761,774,861,1092,824
GENE-5212,NO,65.3,29.3,36,1.226,0.3,1.9e-01,1.0e+00,0.8817,917,26,29,33,41,32,35
GENE-7296,NO,455,198.3,256.7,1.292,0.4,1.9e-01,1.0e+00,0.8817,918,278,177,140,242,263,265
GENE-6498,NO,65.7,36.7,29,0.791,-0.3,1.9e-01,1.0e+00,0.8817,919,29,35,46,32,28,27
GENE-13390,NO,835,383.3,451.7,1.178,0.2,1.9e-01,1.0e+00,0.8817,920,422,390,338,392,511,452
GENE-12668,NO,752,408,344,0.843,-0.2,1.9e-01,1.0e+00,0.8817,921,481,382,361,385,338,309
GENE-5745,NO,249,163.7,85.3,0.523,-0.9,1.9e-01,1.0e+00,0.8817,921,97,196,198,179,43,34
GENE-798,NO,109.7,60.7,49,0.808,-0.3,1.9e-01,1.0e+00,0.8817,922,50,72,60,57,43,47
GENE-8393,NO,417.7,190,227.7,1.2,0.3,1.9e-01,1.0e+00,0.8817,923,156,195,219,232,198,253
GENE-1991,NO,23.7,9,14.7,1.619,0.7,1.9e-01,1.0e+00,0.882,924,8,5,14,15,21,8
GENE-2596,NO,23.3,10,13.3,1.329,0.4,1.9e-01,1.0e+00,0.882,925,9,8,13,15,13,12
GENE-18685,NO,170.3,77.3,93,1.206,0.3,1.9e-01,1.0e+00,0.882,926,83,67,82,87,110,82
GENE-860,NO,732.7,435,297.7,0.684,-0.5,1.9e-01,1.0e+00,0.882,927,428,384,493,334,137,422
GENE-5568,NO,30.3,18.7,11.7,0.627,-0.7,1.9e-01,1.0e+00,0.882,928,15,31,10,8,15,12
GENE-5058,NO,69.3,30.7,38.7,1.26,0.3,2.0e-01,1.0e+00,0.8871,934,34,24,34,46,36,34
GENE-2881,NO,116.7,66.3,50.3,0.76,-0.4,2.0e-01,1.0e+00,0.8902,938,88,61,50,55,38,58
GENE-11478,NO,85.3,38,47.3,1.244,0.3,2.0e-01,1.0e+00,0.8902,939,37,42,35,47,58,37
GENE-7924,NO,530,231,299,1.294,0.4,2.0e-01,1.0e+00,0.8905,940,307,197,189,350,324,223
GENE-6976,NO,551.7,216,335.7,1.553,0.6,2.0e-01,1.0e+00,0.8905,941,179,329,140,336,494,177
GENE-15806,NO,106.3,59.3,47,0.792,-0.3,2.0e-01,1.0e+00,0.8905,942,52,52,74,51,53,37
GENE-17673,NO,423.7,196.3,227.3,1.158,0.2,2.0e-01,1.0e+00,0.8906,943,212,198,179,241,203,238
GENE-1447,NO,89.7,61.3,28.3,0.464,-1.1,2.0e-01,1.0e+00,0.8913,945,108,65,11,39,11,35
GENE-4971,NO,24.3,10.3,14,1.351,0.4,2.0e-01,1.0e+00,0.8914,946,12,8,11,13,11,18
GENE-16959,NO,26.3,15.3,11,0.72,-0.5,2.0e-01,1.0e+00,0.8919,947,13,21,12,13,8,12
GENE-2105,NO,92,42,50,1.19,0.3,2.0e-01,1.0e+00,0.8919,948,45,43,38,52,45,53
GENE-7262,NO,1049.7,566,483.7,0.855,-0.2,2.0e-01,1.0e+00,0.8919,949,508,662,528,520,446,485
GENE-6914,NO,1413,834,579,0.694,-0.5,2.0e-01,1.0e+00,0.8919,950,531,1346,625,454,604,679
GENE-16318,NO,90,38.7,51.3,1.326,0.4,2.0e-01,1.0e+00,0.8919,951,49,40,27,49,65,40
GENE-6217,NO,776.3,358,418.3,1.168,0.2,2.0e-01,1.0e+00,0.8938,954,347,361,366,364,399,492
GENE-9140,NO,61,26.3,34.7,1.315,0.4,2.0e-01,1.0e+00,0.894,955,36,21,22,39,37,28
GENE-6156,NO,21,12.3,8.7,0.706,-0.5,2.0e-01,1.0e+00,0.894,956,11,10,16,12,6,8
GENE-889,NO,62,27.7,34.3,1.24,0.3,2.0e-01,1.0e+00,0.894,957,22,33,28,37,32,34
GENE-17616,NO,1707.3,757.3,950,1.254,0.3,2.0e-01,1.0e+00,0.894,957,770,785,717,665,946,1239
GENE-10873,NO,2316.7,1312.7,1004,0.765,-0.4,2.0e-01,1.0e+00,0.894,958,1832,1180,926,1035,1156,821
GENE-19939,NO,9082.7,4155.7,4927,1.186,0.2,2.0e-01,1.0e+00,0.894,959,3814,4952,3701,4406,4694,5681
GENE-18590,NO,3202.3,1748,1454.3,0.832,-0.3,2.0e-01,1.0e+00,0.894,960,1372,1788,2084,1601,1296,1466
GENE-13351,NO,383.3,175.7,207.7,1.181,0.2,2.0e-01,1.0e+00,0.894,961,189,171,167,216,237,170
GENE-14443,NO,1648,708,940,1.328,0.4,2.0e-01,1.0e+00,0.894,962,599,708,817,677,1375,768
GENE-5495,NO,116.3,63,53.3,0.847,-0.2,2.0e-01,1.0e+00,0.894,963,69,64,56,50,58,52
GENE-2195,NO,22,12.7,9.3,0.739,-0.4,2.0e-01,1.0e+00,0.894,964,10,12,16,11,10,7
GENE-1223,NO,264.3,122.7,141.7,1.157,0.2,2.0e-01,1.0e+00,0.894,965,116,130,122,157,140,128
GENE-8068,NO,77.7,47.7,30,0.631,-0.7,2.0e-01,1.0e+00,0.894,966,66,24,53,36,15,39
GENE-462,NO,405,170.7,234.3,1.371,0.5,2.0e-01,1.0e+00,0.894,966,247,123,142,214,310,179
GENE-7862,NO,382,176.7,205.3,1.163,0.2,2.0e-01,1.0e+00,0.894,967,188,185,157,209,183,224
GENE-6293,NO,295.3,167.7,127.7,0.763,-0.4,2.0e-01,1.0e+00,0.894,968,167,135,201,82,145,156
GENE-4705,NO,159.3,24,135.3,5.616,2.5,2.0e-01,1.0e+00,0.894,969,67,3,2,368,38,0
GENE-1464,NO,603.7,241.7,362,1.496,0.6,2.0e-01,1.0e+00,0.894,970,252,114,359,321,285,480
GENE-12280,NO,88.3,49.3,39,0.79,-0.3,2.0e-01,1.0e+00,0.894,971,37,50,61,33,43,41
GENE-14823,NO,461.3,212,249.3,1.176,0.2,2.0e-01,1.0e+00,0.894,972,238,222,176,271,246,231
GENE-342,NO,802.3,427.3,375,0.878,-0.2,2.0e-01,1.0e+00,0.894,973,467,414,401,358,377,390
GENE-1497,NO,232.7,103.3,129.3,1.252,0.3,2.0e-01,1.0e+00,0.894,974,100,127,83,104,125,159
GENE-16572,NO,959.7,444.7,515,1.158,0.2,2.1e-01,1.0e+00,0.894,974,499,402,433,551,531,463
GENE-3382,NO,301.7,164.3,137.3,0.838,-0.3,2.1e-01,1.0e+00,0.894,975,171,148,174,162,111,139
GENE-14202,NO,1019.7,373.7,646,1.729,0.8,2.1e-01,1.0e+00,0.894,976,134,288,699,887,530,521
GENE-18161,NO,24.3,14.7,9.7,0.662,-0.6,2.1e-01,1.0e+00,0.894,977,17,13,14,14,4,11
GENE-18359,NO,2266,1010.7,1255.3,1.242,0.3,2.1e-01,1.0e+00,0.894,978,802,925,1305,1465,1243,1058
GENE-9160,NO,16,10,6,0.604,-0.7,2.1e-01,1.0e+00,0.894,979,5,11,14,4,10,4
GENE-2809,NO,57.7,22.3,35.3,1.581,0.7,2.1e-01,1.0e+00,0.894,980,32,14,21,40,16,50
GENE-18299,YES,423,166.3,256.7,1.544,0.6,2.1e-01,1.0e+00,0.894,981,173,112,214,142,438,190
GENE-8252,NO,241.7,110.7,131,1.187,0.2,2.1e-01,1.0e+00,0.894,982,120,104,108,153,108,132
GENE-16407,NO,33,18.7,14.3,0.77,-0.4,2.1e-01,1.0e+00,0.894,983,22,17,17,18,11,14
GENE-6945,NO,395,220.3,174.7,0.793,-0.3,2.1e-01,1.0e+00,0.894,983,152,219,290,170,179,175
GENE-4890,NO,4777.7,2557.7,2220,0.868,-0.2,2.1e-01,1.0e+00,0.894,984,2260,2644,2769,2298,1972,2390
GENE-1125,NO,58.3,26,32.3,1.242,0.3,2.1e-01,1.0e+00,0.894,985,26,27,25,25,39,33
GENE-17194,NO,1675.7,928,747.7,0.806,-0.3,2.1e-01,1.0e+00,0.894,986,651,944,1189,743,748,752
GENE-18177,NO,7421,4164.7,3256.3,0.782,-0.4,2.1e-01,1.0e+00,0.894,987,5702,3653,3139,3420,2637,3712
GENE-15248,NO,260,141,119,0.847,-0.2,2.1e-01,1.0e+00,0.894,988,163,141,119,110,116,131
GENE-12648,NO,940,504.7,435.3,0.863,-0.2,2.1e-01,1.0e+00,0.894,989,464,487,563,466,382,458
GENE-16805,NO,2425,1320,1105,0.837,-0.3,2.1e-01,1.0e+00,0.894,990,1014,1421,1525,1137,1165,1013
GENE-12650,NO,35,14,21,1.494,0.6,2.1e-01,1.0e+00,0.894,991,6,16,20,17,24,22
GENE-2777,NO,1559.3,729,830.3,1.139,0.2,2.1e-01,1.0e+00,0.894,991,665,733,789,809,883,799
GENE-2222,NO,197,110.3,86.7,0.786,-0.3,2.1e-01,1.0e+00,0.894,992,81,111,139,78,76,106
GENE-10000,NO,190.7,81.3,109.3,1.348,0.4,2.1e-01,1.0e+00,0.894,993,112,76,56,77,128,123
GENE-1814,NO,428,233,195,0.836,-0.3,2.1e-01,1.0e+00,0.894,994,249,223,227,161,242,182
GENE-9957,NO,171,73.7,97.3,1.324,0.4,2.1e-01,1.0e+00,0.894,995,55,60,106,79,108,105
GENE-4512,NO,195.3,90.7,104.7,1.158,0.2,2.1e-01,1.0e+00,0.894,996,96,93,83,96,112,106
GENE-11385,NO,574.3,316,258.3,0.817,-0.3,2.1e-01,1.0e+00,0.894,997,305,239,404,242,261,272
GENE-6223,NO,327.7,145.7,182,1.251,0.3,2.1e-01,1.0e+00,0.894,998,101,160,176,201,184,161
GENE-8527,NO,3747.7,1654,2093.7,1.266,0.3,2.1e-01,1.0e+00,0.894,999,1404,1305,2253,2337,2217,1727
GENE-14952,NO,367.7,210,157.7,0.751,-0.4,2.1e-01,1.0e+00,0.8945,1000,291,137,202,123,166,184
GENE-14719,NO,41.3,23.3,18,0.773,-0.4,2.1e-01,1.0e+00,0.8948,1001,19,31,20,16,18,20
GENE-4837,NO,33.3,19.3,14,0.725,-0.5,2.1e-01,1.0e+00,0.8948,1002,15,25,18,15,18,9
GENE-16946,NO,751,400.7,350.3,0.875,-0.2,2.1e-01,1.0e+00,0.896,1004,409,404,389,376,308,367
GENE-8173,NO,152,65.7,86.3,1.315,0.4,2.1e-01,1.0e+00,0.896,1005,90,61,46,74,78,107
GENE-8464,NO,656.3,358,298.3,0.834,-0.3,2.1e-01,1.0e+00,0.896,1006,450,313,311,273,305,317
GENE-8259,NO,97,44.7,52.3,1.171,0.2,2.1e-01,1.0e+00,0.8961,1007,45,46,43,48,53,56
GENE-7407,NO,22.7,9.7,13,1.341,0.4,2.1e-01,1.0e+00,0.8983,1011,10,12,7,12,11,16
GENE-5204,NO,186,85.7,100.3,1.175,0.2,2.1e-01,1.0e+00,0.8988,1012,100,78,79,99,94,108
GENE-7103,NO,729,304.3,424.7,1.396,0.5,2.1e-01,1.0e+00,0.8999,1014,336,404,173,523,457,294
GENE-11500,NO,246,110.7,135.3,1.224,0.3,2.1e-01,1.0e+00,0.9008,1016,130,113,89,142,108,156
GENE-15570,NO,1582,863.7,718.3,0.832,-0.3,2.1e-01,1.0e+00,0.901,1017,1059,824,708,726,624,805
GENE-5956,NO,765,419.3,345.7,0.825,-0.3,2.1e-01,1.0e+00,0.901,1018,478,335,445,382,277,378
GENE-918,NO,3269.7,2271,998.7,0.44,-1.2,2.1e-01,1.0e+00,0.901,1019,271,2765,3777,682,581,1733
GENE-2226,NO,98.7,54,44.7,0.828,-0.3,2.1e-01,1.0e+00,0.901,1020,58,55,49,40,40,54
GENE-15358,NO,3454.7,1846.7,1608,0.871,-0.2,2.1e-01,1.0e+00,0.901,1021,2029,1658,1853,1457,1593,1774
GENE-17146,NO,408,237.3,170.7,0.72,-0.5,2.1e-01,1.0e+00,0.901,1022,284,251,177,165,99,248
GENE-842,NO,1113.7,593,520.7,0.878,-0.2,2.1e-01,1.0e+00,0.901,1023,606,638,535,513,500,549
GENE-8567,NO,552.3,393.3,159,0.404,-1.3,2.1e-01,1.0e+00,0.901,1024,215,48,917,76,153,248
GENE-1044,NO,284.7,154.7,130,0.845,-0.2,2.1e-01,1.0e+00,0.901,1024,135,176,153,152,119,119
GENE-14134,NO,57,25,32,1.278,0.4,2.2e-01,1.0e+00,0.901,1025,25,29,21,23,36,37
GENE-6992,NO,188,85.7,102.3,1.197,0.3,2.2e-01,1.0e+00,0.901,1026,86,75,96,89,122,96
GENE-17985,NO,964,446,518,1.162,0.2,2.2e-01,1.0e+00,0.901,1027,434,385,519,553,492,509
GENE-7031,NO,168,90.3,77.7,0.86,-0.2,2.2e-01,1.0e+00,0.901,1028,91,81,99,78,83,72
GENE-7187,NO,27,11.7,15.3,1.311,0.4,2.2e-01,1.0e+00,0.901,1029,8,14,13,14,15,17
GENE-18563,NO,9927.3,5314,4613.3,0.868,-0.2,2.2e-01,1.0e+00,0.901,1030,4575,5563,5804,4537,5093,4210
