name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-3205,NO,1,0,0,0,0,0,0
GENE-3206,NO,1,0,0,0,0,0,0
GENE-3207,NO,1,20,16,16,18,19,13
GENE-3208,NO,1,0,0,0,0,0,0
GENE-3209,NO,1,8,3,12,6,11,7
GENE-3210,NO,1,0,0,0,0,0,0
GENE-3211,NO,1,0,0,0,0,0,0
GENE-3212,NO,1,0,0,0,0,0,0
GENE-3213,NO,1,0,0,0,0,0,0
GENE-3214,NO,1,0,0,0,0,0,0
GENE-3215,NO,1,0,0,0,0,0,0
GENE-3216,NO,1,0,0,0,0,0,0
GENE-3217,NO,1,201,179,208,272,189,154
GENE-3218,NO,1,0,0,0,0,0,0
GENE-3219,NO,1,0,0,0,0,0,0
GENE-3221,NO,1,0,0,0,0,0,0
GENE-3222,NO,1,0,0,0,0,0,0
GENE-3223,NO,1,4726,6153,5119,5664,6704,5121
GENE-3224,NO,1,0,0,0,0,0,0
GENE-3225,NO,1,1175,981,1028,1123,1362,1200
GENE-3226,NO,1,0,0,0,0,0,0
GENE-3227,NO,1,0,0,0,0,0,0
GENE-3228,NO,1,0,0,0,0,0,0
GENE-3229,NO,1,0,0,0,0,0,0
GENE-3230,NO,1,86,135,107,97,119,128
GENE-3231,NO,1,11,11,11,7,15,6
GENE-3232,NO,1,122,170,123,149,128,146
GENE-3233,NO,1,0,0,0,0,0,0
GENE-3234,NO,1,0,0,0,0,0,0
GENE-3235,NO,1,9,9,10,9,15,16
GENE-3236,NO,1,0,0,0,0,0,0
GENE-3237,NO,1,0,0,0,0,0,0
GENE-3238,NO,1,7,7,3,4,2,5
GENE-3239,NO,1,0,0,0,0,0,0
GENE-3240,NO,1,240,232,200,219,268,204
GENE-3241,NO,1,372,358,397,313,409,434
GENE-3242,NO,1,0,0,0,0,0,0
GENE-3243,NO,1,16,13,10,14,9,12
GENE-3244,NO,1,0,0,0,0,0,0
GENE-3245,NO,1,303,290,224,264,230,245
GENE-3246,NO,1,0,0,0,0,0,0
GENE-3247,NO,1,297,302,334,345,377,282
GENE-3248,NO,1,0,0,0,0,0,0
GENE-3249,NO,1,0,0,0,0,0,0
GENE-3250,NO,1,0,0,0,0,0,0
GENE-3251,NO,1,0,0,0,0,0,0
GENE-3252,NO,1,0,0,0,0,0,0
GENE-3253,NO,1,0,0,0,0,0,0
GENE-3254,NO,1,109,86,129,112,71,86
GENE-3255,NO,1,0,0,0,0,0,0
GENE-3256,YES,1,0,0,0,0,0,0
GENE-3257,NO,1,17,24,14,20,21,15
GENE-3258,NO,1,146,29,46,46,80,97
GENE-3259,NO,1,114,89,104,122,166,156
GENE-3260,NO,1,0,0,0,0,0,0
GENE-3261,NO,1,6755,7603,6064,7616,7026,8240
GENE-3262,NO,1,2411,2893,2166,2392,1934,1941
GENE-3263,NO,1,178,198,177,154,204,122
GENE-3264,NO,1,0,0,0,0,0,0
GENE-3265,NO,1,0,0,0,0,0,0
GENE-3266,NO,1,0,0,0,0,0,0
GENE-3267,NO,1,0,0,0,0,0,0
GENE-3268,NO,1,118,172,150,147,128,223
GENE-3269,NO,1,0,0,0,0,0,0
GENE-3270,NO,1,0,0,0,0,0,0
GENE-3271,NO,1,272,204,283,273,252,236
GENE-3272,NO,1,0,0,0,0,0,0
GENE-3273,NO,1,0,0,0,0,0,0
GENE-3274,NO,1,578,801,718,686,712,685
GENE-3275,NO,1,0,0,0,0,0,0
GENE-3276,NO,1,0,0,0,0,0,0
GENE-3277,NO,1,773,536,678,644,518,732
GENE-3278,NO,1,0,0,0,0,0,0
GENE-3279,NO,1,0,0,0,0,0,0
GENE-3280,NO,1,0,0,0,0,0,0
GENE-3281,NO,1,0,0,0,0,0,0
GENE-3282,NO,1,0,0,0,0,0,0
GENE-3283,NO,1,0,0,0,0,0,0
GENE-3284,NO,1,1,5,6,6,0,7
GENE-3285,NO,1,4,2,2,2,3,3
GENE-3286,NO,1,0,0,0,0,0,0
GENE-3287,NO,1,35,29,14,14,36,20
GENE-3288,NO,1,0,0,0,0,0,0
GENE-3289,NO,1,0,0,0,0,0,0
GENE-3290,NO,1,0,0,0,0,0,0
GENE-3291,YES,1,0,0,0,0,0,0
GENE-3292,NO,1,0,0,0,0,0,0
GENE-3293,NO,1,0,0,0,0,0,0
GENE-3294,NO,1,0,0,0,0,0,0
GENE-3295,NO,1,0,0,0,0,0,0
GENE-3296,NO,1,503,863,643,619,579,604
GENE-3297,NO,1,0,0,0,0,0,0
GENE-3298,NO,1,0,0,0,0,0,0
GENE-3299,NO,1,2380,1953,2157,2621,2658,2726
GENE-3300,NO,1,0,0,0,0,0,0
GENE-3301,NO,1,0,0,0,0,0,0
GENE-3302,NO,1,0,0,0,0,0,0
GENE-3303,NO,1,0,0,0,0,0,0
GENE-3304,NO,1,764,814,876,794,1072,664
GENE-3305,NO,1,39,33,64,34,56,41
GENE-3306,NO,1,0,0,0,0,0,0
GENE-3307,NO,1,0,0,0,0,0,0
GENE-3308,NO,1,0,0,0,0,0,0
GENE-3309,NO,1,0,0,0,0,0,0
GENE-3310,NO,1,0,0,0,0,0,0
GENE-3311,NO,1,5992,991,818,780,461,1567
GENE-3312,NO,1,0,0,0,0,0,0
GENE-3313,NO,1,530,647,498,627,821,525
GENE-3314,NO,1,0,0,0,0,0,0
GENE-3315,NO,1,1333,1752,1622,1395,1773,1349
GENE-3316,NO,1,0,0,0,0,0,0
GENE-3317,NO,1,2404,1510,1391,1014,990,824
GENE-3318,NO,1,0,0,0,0,0,0
GENE-3319,NO,1,0,0,0,0,0,0
GENE-3320,NO,1,0,0,0,0,0,0
GENE-3321,NO,1,0,1,0,0,0,2
GENE-3322,NO,1,0,0,0,0,0,0
GENE-3323,NO,1,0,0,0,0,0,0
GENE-3324,NO,1,0,0,0,0,0,0
GENE-3325,NO,1,0,0,0,0,0,0
GENE-3326,NO,1,10,7,26,17,12,13
GENE-3327,NO,1,0,0,0,0,0,0
GENE-3328,NO,1,0,0,0,0,0,0
GENE-3329,NO,1,1,5,3,7,3,8
GENE-3330,NO,1,305,269,225,282,352,190
GENE-3331,NO,1,0,0,0,0,0,0
GENE-3332,NO,1,342,434,477,368,376,334
GENE-3333,NO,1,253,291,272,352,207,254
GENE-3334,NO,1,0,0,0,0,1,0
GENE-3335,NO,1,0,0,0,0,0,0
GENE-3336,NO,1,0,0,1,0,0,0
GENE-3337,NO,1,0,0,0,0,0,0
GENE-3338,NO,1,494,429,416,507,372,433
GENE-3339,NO,1,0,0,0,0,0,0
GENE-3340,NO,1,3,2,1,0,0,2
GENE-3341,NO,1,0,0,0,0,0,0
GENE-3342,NO,1,0,0,0,0,0,0
GENE-3343,NO,1,41,26,51,50,54,38
GENE-3344,NO,1,0,0,0,0,0,0
GENE-3345,NO,1,442,410,354,369,445,418
GENE-3346,NO,1,72,72,34,46,67,67
GENE-3347,NO,1,23,25,43,34,25,33
GENE-3348,NO,1,0,0,0,0,0,0
GENE-3349,NO,1,557,626,970,456,701,697
GENE-3350,NO,1,28,23,47,65,44,51
GENE-3351,NO,1,0,0,0,0,0,0
GENE-3352,NO,1,120,242,80,183,158,108
GENE-3353,NO,1,392,0,11,10,116,418
GENE-3354,NO,1,0,0,0,0,0,0
GENE-3355,NO,1,0,0,0,0,0,0
GENE-3356,YES,1,0,0,0,0,0,0
GENE-3357,NO,1,0,0,0,0,0,0
GENE-3358,NO,1,0,0,0,0,0,0
GENE-3359,NO,1,0,1,0,1,1,0
GENE-3360,YES,1,0,0,0,0,0,0
GENE-3361,NO,1,526,567,449,624,441,522
GENE-3362,NO,1,1,2,5,2,0,1
GENE-3363,NO,1,8,8,10,11,3,7
GENE-3364,NO,1,0,0,0,0,0,0
GENE-3365,NO,1,0,0,0,0,0,0
GENE-3366,NO,1,36,62,37,38,42,47
GENE-3368,NO,1,0,0,0,0,0,0
GENE-3369,NO,1,0,0,0,0,0,0
GENE-3370,NO,1,0,0,0,0,0,0
GENE-3371,NO,1,9,3,10,11,14,8
GENE-3372,NO,1,0,0,0,0,0,0
GENE-3373,NO,1,0,0,0,0,0,0
GENE-3374,YES,1,6,8,3,2,3,1
GENE-3375,NO,1,0,0,0,0,0,0
GENE-3376,NO,1,0,0,0,0,0,0
GENE-3378,NO,1,0,0,0,0,0,0
GENE-3379,NO,1,0,0,0,0,0,0
GENE-3380,NO,1,0,0,0,0,0,0
GENE-3381,NO,1,0,0,0,0,0,0
GENE-3382,NO,1,171,148,173,162,112,138
GENE-3383,NO,1,39,17,65,129,29,25
GENE-3384,NO,1,0,0,0,0,0,0
GENE-3385,NO,1,0,0,0,0,0,0
GENE-3386,NO,1,0,0,0,0,0,0
GENE-3387,NO,1,0,0,0,0,0,0
GENE-3388,NO,1,0,0,0,0,0,0
GENE-3389,NO,1,0,0,0,0,0,0
GENE-3390,NO,1,0,0,0,0,0,0
GENE-3391,NO,1,0,0,0,0,0,0
GENE-3392,NO,1,0,0,0,0,0,0
GENE-3393,NO,1,1500,1422,886,2078,1734,1118
GENE-3394,NO,1,85,108,72,108,90,83
GENE-3395,NO,1,0,0,0,0,0,0
GENE-3396,NO,1,0,0,0,0,0,0
GENE-3397,NO,1,0,0,0,0,0,0
GENE-3398,NO,1,0,0,0,0,0,0
GENE-3399,NO,1,0,0,0,0,0,0
GENE-3400,NO,1,0,0,0,0,0,0
GENE-3401,NO,1,6,3,6,5,14,7
GENE-3402,NO,1,82,94,81,93,107,101
GENE-3403,NO,1,0,0,0,0,0,0
GENE-3404,NO,1,0,0,0,0,0,0
GENE-3405,NO,1,0,0,0,0,0,0
GENE-3406,NO,1,686,714,247,582,458,305
GENE-3407,NO,1,0,0,0,0,0,0
GENE-3408,YES,1,0,0,0,0,0,0
GENE-3409,NO,1,841,1216,744,867,738,967
GENE-3410,NO,1,0,0,0,0,0,0
GENE-3411,NO,1,0,0,0,0,0,0
GENE-3412,NO,1,0,0,0,0,0,0
GENE-3413,NO,1,0,0,0,0,0,0
GENE-3414,NO,1,0,0,0,0,0,0
GENE-3415,NO,1,202,214,246,206,228,197
GENE-3416,NO,1,0,0,0,0,0,0
GENE-3417,NO,1,0,2,0,1,1,0
GENE-3418,NO,1,10,9,19,24,17,10
GENE-3420,NO,1,14,16,15,27,21,15
GENE-3421,NO,1,0,0,0,0,0,0
GENE-3422,NO,1,441,423,415,331,400,371
GENE-3423,NO,1,0,0,0,0,0,0
GENE-3424,NO,1,49,66,56,66,75,70
GENE-3425,NO,1,14,14,13,13,14,11
GENE-3426,NO,1,8,2,2,9,4,5
GENE-3427,NO,1,0,0,0,0,0,0
GENE-3428,NO,1,2,1,1,2,1,3
GENE-3429,YES,1,0,0,0,0,0,0
GENE-3430,NO,1,0,0,0,0,0,0
GENE-3431,NO,1,0,0,0,0,0,0
GENE-3432,NO,1,8,10,4,12,8,7
GENE-3433,NO,1,0,0,0,0,0,0
GENE-3434,NO,1,0,0,0,0,0,0
GENE-3435,NO,1,0,0,0,0,0,0
GENE-3436,NO,1,0,0,0,0,0,0
GENE-3437,NO,1,0,0,0,0,0,0
GENE-3438,NO,1,0,0,0,0,0,0
GENE-3439,NO,1,0,0,0,0,0,0
GENE-3440,NO,1,0,0,0,0,0,0
GENE-3441,NO,1,325,274,276,249,272,260
GENE-3442,NO,1,0,0,0,2,0,0
GENE-3443,NO,1,0,0,0,0,0,0
GENE-3444,NO,1,0,0,0,0,0,0
GENE-3445,NO,1,0,0,0,0,0,0
GENE-3446,NO,1,1,0,0,0,0,0
GENE-3447,NO,1,0,0,0,0,0,0
GENE-3448,NO,1,0,0,0,0,0,0
GENE-3449,NO,1,40,38,46,42,38,38
GENE-3450,NO,1,0,0,0,0,0,0
GENE-3451,NO,1,181,184,245,259,220,207
GENE-3452,NO,1,0,0,0,0,0,0
GENE-3453,NO,1,0,0,0,0,0,0
GENE-3454,NO,1,1,0,1,0,1,0
GENE-3455,NO,1,0,0,0,0,0,0
GENE-3456,NO,1,0,0,0,0,0,0
GENE-3457,NO,1,76,0,241,69,70,60
GENE-3458,NO,1,0,0,0,0,0,0
GENE-3459,NO,1,4,0,2,1,0,0
GENE-3461,NO,1,0,0,0,0,0,0
GENE-3462,NO,1,0,0,0,0,0,0
GENE-3463,NO,1,0,0,0,0,0,0
GENE-3464,NO,1,0,0,0,0,0,0
GENE-3465,NO,1,0,0,0,0,0,0
GENE-3466,NO,1,15,14,26,21,11,7
GENE-3467,NO,1,0,0,0,0,0,0
GENE-3468,NO,1,20,12,8,20,19,20
GENE-3469,NO,1,0,0,0,0,0,0
GENE-3470,NO,1,0,0,0,0,0,0
GENE-3471,NO,1,0,0,0,0,0,0
GENE-3472,NO,1,0,0,0,0,0,0
GENE-3473,NO,1,0,0,0,0,0,0
GENE-3474,NO,1,0,0,2,1,3,1
GENE-3475,NO,1,0,0,0,0,0,0
GENE-3476,NO,1,0,0,0,0,0,0
GENE-3477,NO,1,51,110,38,82,53,19
GENE-3478,NO,1,0,0,0,0,0,0
GENE-3479,NO,1,0,0,0,0,0,0
GENE-3480,NO,1,404,297,339,403,366,496
GENE-3481,NO,1,12,11,13,3,11,13
GENE-3482,NO,1,0,0,0,0,0,0
GENE-3483,NO,1,2,4,2,0,1,1
GENE-3484,NO,1,0,0,0,0,0,0
GENE-3486,NO,1,0,0,0,0,0,0
GENE-3487,NO,1,57,76,40,52,48,69
GENE-3488,NO,1,4,5,3,2,1,5
GENE-3489,NO,1,0,0,0,0,0,0
GENE-3490,NO,1,0,0,0,0,0,0
GENE-3491,NO,1,1,0,0,0,1,0
GENE-3492,NO,1,0,0,0,0,0,0
GENE-3493,NO,1,0,0,0,0,0,0
GENE-3494,NO,1,32,40,23,40,39,26
GENE-3495,NO,1,0,0,0,0,0,0
GENE-3496,NO,1,0,0,0,0,0,0
GENE-3497,NO,1,18,29,16,18,8,12
GENE-3498,NO,1,0,0,0,0,0,0
GENE-3499,NO,1,0,0,0,0,0,0
GENE-3500,NO,1,0,0,0,0,0,0
GENE-3501,NO,1,1956,1824,1876,1841,1891,1717
GENE-3502,NO,1,499,511,386,458,409,497
GENE-3503,NO,1,0,0,0,0,0,0
GENE-3504,NO,1,0,0,0,0,0,0
GENE-3505,NO,1,0,0,0,0,0,0
GENE-3506,NO,1,80,65,64,46,51,64
GENE-3507,NO,1,0,0,0,0,0,0
GENE-3508,NO,1,0,0,0,0,0,0
GENE-3511,YES,1,0,0,0,0,0,0
GENE-3512,NO,1,867,733,760,931,721,729
GENE-3513,NO,1,17,21,21,27,20,14
GENE-3514,NO,1,97,78,101,106,136,73
GENE-3515,NO,1,0,0,0,0,0,0
GENE-3516,NO,1,0,0,0,0,0,0
GENE-3517,NO,1,0,0,0,0,0,0
GENE-3518,NO,1,0,0,0,1,1,0
GENE-3519,NO,1,2,7,4,3,4,5
GENE-3520,NO,1,0,0,0,0,0,0
GENE-3521,NO,1,0,0,0,0,0,0
GENE-3522,NO,1,1506,1705,1230,1311,963,1317
GENE-3523,NO,1,46,73,47,56,57,30
GENE-3524,NO,1,0,0,0,0,0,0
GENE-3525,NO,1,0,0,0,0,0,0
GENE-3526,YES,1,0,0,0,0,0,0
GENE-3527,NO,1,0,0,0,0,0,0
GENE-3528,NO,1,0,0,0,0,0,0
GENE-3529,NO,1,26,30,36,23,24,28
GENE-3530,NO,1,0,0,0,0,0,0
GENE-3531,NO,1,2,1,6,3,4,1
GENE-3532,NO,1,0,0,0,0,0,0
GENE-3533,NO,1,69,98,81,88,95,86
GENE-3534,NO,1,83,92,105,60,93,91
GENE-3535,NO,1,0,0,0,0,0,0
GENE-3536,NO,1,46,32,27,27,28,17
GENE-3537,NO,1,0,0,0,0,0,0
GENE-3538,NO,1,0,0,0,0,0,0
GENE-3539,NO,1,0,0,0,0,0,0
GENE-3540,NO,1,1,1,1,0,1,0
GENE-3541,NO,1,0,0,0,0,0,0
GENE-3542,NO,1,0,0,0,0,0,0
GENE-3543,NO,1,77,58,47,70,27,62
GENE-3544,NO,1,0,0,0,0,0,0
GENE-3545,NO,1,0,0,0,0,0,0
GENE-3546,NO,1,0,0,0,0,0,0
GENE-3547,NO,1,0,0,0,0,0,0
GENE-3548,NO,1,0,0,0,0,0,0
GENE-3549,NO,1,1127,1297,1314,1032,1042,1105
GENE-3550,NO,1,0,0,0,0,0,0
GENE-3551,NO,1,0,0,0,0,0,0
GENE-3552,NO,1,1,1,2,2,1,2
GENE-3553,NO,1,0,0,0,0,0,0
GENE-3554,NO,1,0,0,0,0,0,0
GENE-3555,NO,1,0,0,0,0,0,0
GENE-3556,NO,1,0,0,0,0,0,0
GENE-3557,NO,1,403,475,335,387,347,359
GENE-3558,NO,1,0,0,0,0,0,0
GENE-3559,NO,1,0,0,0,0,0,0
GENE-3560,NO,1,4,5,4,9,7,7
GENE-3561,NO,1,0,0,0,0,0,0
GENE-3562,NO,1,0,0,0,0,0,0
GENE-3563,NO,1,0,0,0,0,0,0
GENE-3564,NO,1,0,0,0,0,0,0
GENE-3565,NO,1,0,0,0,0,0,0
GENE-3566,NO,1,0,0,0,0,0,0
GENE-3567,NO,1,0,0,0,0,0,0
GENE-3568,NO,1,158,188,189,172,230,201
GENE-3569,NO,1,0,0,0,0,0,0
GENE-3570,NO,1,89,104,98,101,108,116
GENE-3571,NO,1,877,1040,772,1036,959,1225
GENE-3572,NO,1,0,0,0,0,0,0
GENE-3573,NO,1,621,626,560,506,545,629
GENE-3574,NO,1,19,10,12,5,12,24
GENE-3575,NO,1,15,19,12,16,15,7
GENE-3576,NO,1,0,0,0,0,0,0
GENE-3577,NO,1,0,0,0,0,0,0
GENE-3578,NO,1,351,362,513,376,270,284
GENE-3579,NO,1,4,3,8,10,6,2
GENE-3580,NO,1,0,0,0,0,0,0
GENE-3581,NO,1,0,0,0,0,0,0
GENE-3582,NO,1,7,5,2,1,0,0
GENE-3583,NO,1,0,0,0,0,0,0
GENE-3584,NO,1,62,66,84,57,59,59
GENE-3585,NO,1,1,4,5,5,5,4
GENE-3586,NO,1,0,0,0,0,0,0
GENE-3587,NO,1,0,0,0,0,0,0
GENE-3588,NO,1,0,0,0,0,0,0
GENE-3589,NO,1,0,0,0,0,0,0
GENE-3590,NO,1,0,0,0,0,0,0
GENE-3591,NO,1,0,0,0,0,0,0
GENE-3592,NO,1,498,150,2226,653,349,256
GENE-3593,NO,1,0,0,0,0,0,0
GENE-3594,NO,1,0,0,0,0,0,0
GENE-3595,NO,1,19,30,39,58,44,76
GENE-3596,NO,1,22,33,24,16,11,14
GENE-3597,NO,1,0,0,0,0,0,0
GENE-3598,NO,1,19,23,17,21,25,22
GENE-3599,NO,1,0,1,1,0,0,0
GENE-3600,NO,1,0,1,0,0,0,0
GENE-3601,NO,1,1444,1224,1123,1225,1005,1278
GENE-3602,NO,1,0,0,0,0,0,0
GENE-3603,NO,1,52,27,37,28,49,42
GENE-3604,NO,1,0,0,0,0,0,0
GENE-3605,NO,1,0,0,0,0,0,0
GENE-3606,NO,1,4,6,1,4,4,4
GENE-3607,NO,1,7,13,14,7,16,4
GENE-3608,NO,1,0,0,0,0,0,0
GENE-3609,NO,1,0,0,0,0,0,0
GENE-3610,NO,1,0,0,0,0,1,0
GENE-3611,NO,1,0,0,0,0,0,0
GENE-3612,NO,1,0,0,0,0,0,0
GENE-3613,NO,1,0,0,0,0,0,0
GENE-3614,NO,1,50,76,50,73,64,45
GENE-3615,NO,1,0,0,0,0,0,0
GENE-3616,NO,1,0,0,0,0,0,0
GENE-3617,NO,1,3,2,3,3,4,2
GENE-3618,NO,1,0,0,0,0,0,0
GENE-3619,NO,1,0,0,0,0,0,0
GENE-3620,NO,1,0,0,0,0,0,0
GENE-3621,NO,1,0,0,0,0,0,0
GENE-3622,NO,1,0,0,0,0,0,0
GENE-3623,NO,1,0,0,0,0,0,0
GENE-3624,NO,1,0,0,0,0,0,0
GENE-3625,NO,1,0,0,0,0,0,0
GENE-3626,NO,1,20,38,34,22,22,17
GENE-3627,NO,1,38,49,48,30,29,42
GENE-3628,NO,1,0,0,0,0,0,0
GENE-3629,NO,1,189,202,190,228,276,221
GENE-3630,NO,1,0,0,0,0,0,0
GENE-3631,NO,1,0,0,0,0,0,0
GENE-3632,NO,1,0,0,0,0,0,0
GENE-3633,NO,1,0,0,0,0,0,0
GENE-3634,NO,1,0,0,0,0,0,0
GENE-3635,YES,1,0,0,0,0,0,0
GENE-3636,NO,1,0,0,0,0,0,0
GENE-3637,NO,1,0,0,0,0,0,0
GENE-3638,YES,1,0,0,0,0,0,0
GENE-3639,NO,1,50,44,32,33,57,60
GENE-3640,NO,1,13,12,6,15,14,8
GENE-3641,NO,1,0,0,0,0,0,0
GENE-3642,NO,1,0,0,0,0,0,0
GENE-3643,NO,1,0,0,0,0,0,0
GENE-3644,NO,1,0,0,0,0,0,0
GENE-3645,NO,1,0,0,0,0,0,0
GENE-3646,NO,1,0,0,0,1,0,0
GENE-3647,NO,1,207,232,227,226,269,238
GENE-3648,NO,1,154,170,123,163,145,183
GENE-3649,NO,1,0,0,0,0,0,0
GENE-3650,NO,1,0,0,0,0,0,0
GENE-3651,NO,1,3132,3717,2051,2672,2103,2378
GENE-3652,NO,1,0,0,0,0,0,0
GENE-3653,YES,1,10,13,6,0,2,0
GENE-3654,NO,1,0,0,0,0,0,0
GENE-3655,NO,1,0,0,0,0,0,0
GENE-3656,NO,1,0,0,0,0,0,0
GENE-3657,NO,1,0,0,0,0,0,0
GENE-3658,NO,1,55,47,49,54,56,25
GENE-3659,NO,1,0,0,0,0,0,0
GENE-3660,NO,1,0,0,0,0,0,0
GENE-3661,NO,1,0,0,0,0,0,0
GENE-3662,NO,1,76,73,45,64,70,60
GENE-3663,NO,1,0,0,0,0,0,0
GENE-3664,NO,1,0,0,0,0,0,0
GENE-3665,NO,1,2,4,4,3,2,6
GENE-3666,NO,1,15,23,12,18,15,19
GENE-3667,NO,1,363,577,428,485,901,965
GENE-3668,NO,1,0,0,0,0,0,0
GENE-3669,NO,1,0,0,0,0,0,0
GENE-3670,NO,1,0,0,0,0,0,0
GENE-3671,NO,1,0,0,1,0,0,0
GENE-3672,YES,1,0,0,0,0,0,0
GENE-3673,NO,1,0,0,0,0,0,0
GENE-3674,NO,1,0,0,0,0,0,0
GENE-3675,NO,1,424,515,492,424,454,447
GENE-3676,NO,1,0,0,0,0,0,0
GENE-3677,NO,1,0,0,0,0,0,0
GENE-3678,NO,1,9,3,1,4,1,4
GENE-3679,NO,1,0,0,0,0,0,0
GENE-3680,NO,1,115,188,169,104,111,76
GENE-3681,NO,1,3,2,1,2,1,1
GENE-3682,NO,1,0,0,0,0,0,0
GENE-3683,NO,1,0,0,0,0,0,0
GENE-3684,NO,1,1,0,3,0,1,1
GENE-3685,NO,1,0,0,0,0,0,0
GENE-3686,YES,1,0,0,0,0,0,0
GENE-3687,NO,1,2,2,5,1,2,0
GENE-3688,NO,1,0,0,0,0,0,0
GENE-3689,NO,1,2696,3014,3526,3039,2816,3111
GENE-3690,NO,1,0,0,0,0,0,0
GENE-3691,NO,1,0,0,0,0,0,0
GENE-3692,NO,1,0,0,0,0,0,0
GENE-3693,NO,1,3,0,0,1,4,0
GENE-3694,NO,1,0,0,0,0,0,0
GENE-3695,NO,1,0,0,0,0,0,0
GENE-3696,NO,1,0,0,0,0,0,0
GENE-3697,NO,1,0,0,0,0,0,0
GENE-3698,NO,1,121,123,95,112,114,112
GENE-3699,NO,1,0,0,0,0,0,0
GENE-3700,NO,1,0,0,0,0,0,0
GENE-3701,NO,1,0,0,0,0,0,0
GENE-3702,NO,1,0,0,0,0,0,0
GENE-3703,NO,1,0,0,0,0,0,0
GENE-3704,NO,1,0,0,0,0,0,0
GENE-3705,NO,1,175,196,159,170,173,144
GENE-3706,NO,1,0,0,0,0,0,0
GENE-3707,NO,1,0,0,0,0,0,0
GENE-3708,NO,1,0,0,0,0,0,0
GENE-3709,NO,1,0,0,0,0,0,0
GENE-3710,NO,1,0,0,0,0,0,0
GENE-3711,NO,1,0,0,0,0,0,0
GENE-3712,NO,1,3,1,1,0,3,0
GENE-3713,NO,1,0,0,0,0,0,0
GENE-3714,NO,1,0,0,0,0,0,0
GENE-3715,NO,1,0,0,0,0,0,0
GENE-3716,NO,1,0,0,0,0,0,0
GENE-3717,NO,1,0,1,1,1,0,0
GENE-3718,NO,1,0,0,0,0,0,0
GENE-3719,NO,1,6,3,4,5,2,9
GENE-3720,NO,1,9,2,1,5,4,2
GENE-3721,NO,1,0,0,0,0,0,0
GENE-3722,NO,1,0,0,0,0,0,0
GENE-3723,NO,1,0,0,0,0,0,0
GENE-3724,NO,1,66,55,35,51,64,60
GENE-3725,NO,1,0,0,0,0,0,0
GENE-3726,NO,1,0,0,0,0,0,0
GENE-3727,NO,1,545,525,483,533,736,435
GENE-3728,NO,1,0,0,0,0,0,0
GENE-3729,NO,1,0,0,0,0,0,0
GENE-3730,NO,1,0,0,0,0,0,0
GENE-3731,NO,1,149,160,79,133,62,112
GENE-3732,NO,1,0,0,0,0,0,0
GENE-3733,NO,1,0,0,0,0,0,0
GENE-3734,NO,1,0,0,0,0,0,0
GENE-3735,NO,1,0,0,0,0,0,0
GENE-3736,NO,1,0,0,0,0,0,0
GENE-3737,NO,1,0,0,0,1,0,0
GENE-3738,NO,1,217,200,185,268,262,282
GENE-3739,NO,1,0,0,0,0,0,0
GENE-3740,NO,1,0,0,0,0,0,0
GENE-3741,NO,1,73,63,64,66,71,60
GENE-3742,NO,1,0,0,0,0,0,0
GENE-3743,NO,1,0,0,0,0,0,0
GENE-3744,NO,1,488,6473,89,1487,2356,2
GENE-3745,NO,1,107,138,137,116,131,196
GENE-3746,NO,1,27,25,20,19,15,26
GENE-3747,NO,1,0,0,0,0,0,0
GENE-3748,NO,1,7,8,10,7,4,7
GENE-3749,NO,1,0,0,0,0,0,0
GENE-3750,NO,1,0,0,0,0,0,0
GENE-3751,NO,1,0,0,0,0,0,0
GENE-3752,NO,1,0,0,0,0,0,0
GENE-3753,NO,1,2417,2724,2418,2393,2182,1920
GENE-3754,NO,1,0,0,0,0,0,0
GENE-3755,NO,1,0,0,0,1,1,0
GENE-3756,NO,1,0,0,0,0,0,0
GENE-3757,NO,1,0,0,0,0,0,0
GENE-3758,NO,1,0,0,0,0,0,0
GENE-3759,NO,1,91,144,154,202,159,131
GENE-3760,NO,1,0,0,0,0,0,0
GENE-3761,NO,1,0,0,0,0,0,0
GENE-3762,NO,1,0,0,0,0,0,0
GENE-3763,NO,1,0,0,0,0,0,0
GENE-3764,NO,1,0,0,0,0,0,0
GENE-3765,NO,1,0,0,0,0,0,0
GENE-3766,NO,1,1,0,0,1,1,2
GENE-3767,NO,1,0,0,0,0,0,0
GENE-3768,NO,1,0,0,0,0,0,0
GENE-3769,NO,1,371,348,462,365,493,442
GENE-3770,NO,1,0,0,0,0,0,0
GENE-3771,NO,1,0,0,0,0,0,0
GENE-3772,NO,1,0,0,0,0,0,0
GENE-3773,NO,1,0,0,0,0,0,0
GENE-3774,NO,1,0,0,0,0,0,0
GENE-3775,NO,1,0,0,0,0,0,0
GENE-3776,NO,1,0,0,0,0,0,0
GENE-3777,NO,1,7817,8451,7752,7069,8216,7119
GENE-3778,NO,1,2,2,3,1,7,1
GENE-3779,NO,1,0,0,0,0,0,0
GENE-3780,NO,1,0,0,0,0,0,0
GENE-3781,NO,1,0,0,0,0,0,0
GENE-3782,NO,1,0,0,0,0,0,0
GENE-3783,NO,1,0,0,0,0,0,0
GENE-3784,NO,1,9,10,9,7,11,8
GENE-3785,NO,1,0,0,0,0,0,0
GENE-3786,NO,1,151,175,175,200,199,185
GENE-3787,NO,1,0,0,0,0,0,0
GENE-3788,NO,1,0,0,0,0,0,0
GENE-3789,NO,1,0,0,0,0,0,0
GENE-3790,NO,1,0,0,0,0,0,0
